IDHASH,MIN_CALIF_ADMIS,MAX_CALIF_ADMIS,PROM_CALIF_ADMIS,CANT_ADMIS
005D2018C18E4148433A5BB848D113C3B18F525768204DDEAD1A71987354F5831BA076A85C60376B7041A9460153F5CDBD6A79396ED1327C487294E1D9E8F2FA,4.58,4.58,4.58,1
00651D3D728FEDA9FE8622FDB5FD4A1FEF5B523C24D569503EA6116B6391BAA730EBC2814F86DC4A9DC71B680F84F92E317EA235B93793289144AF11E8945C1E,3.22,3.22,3.22,1
0067FC1ED4827147350CDCE59691F153CBEE7CC2979AA67DC55028FBC9C911F8A18291DDACDC95851E4FB2302D933567ABCD69CC548E652C2D37F1420B1B3D54,7.0,14.196,10.597999999999999,2
00681E7D81A444C27862F36611A3E1854E3B0B8D873AD8660952874A131B40AB52E8A5BC9066EC2B14B5C7F9DC8AB6FF3AE665D6044707038960DF017021FC6B,6.341,6.341,6.341,1
006C720E11FFB1E98C752722CB76FA3B55729FC23874271065DA47946662520A00C032B5A757A89D90B9DE2B9C1C94A79037A7C2223948CDA836DB03492E44D2,5.104,5.104,5.104,1
006F1D047C1944E6B1373A1EFA96DD74BD0DB034EB6E3CEF5966F5FF8AB776BABE6B6E31A4D0610F14BD1283E2D0B526F9F717EB457253E939CD84A1B97C8567,3.88,3.88,3.88,1
0072CF62FA96EBDDC64A67915F03FEF2ACFAD98D52518722CEE15402E0A7A0ECC66D0CC8B44DCAE4D80CCE581ACFB7645E6FB3B6E11E72863378C810F4B080CD,4.694,4.694,4.694,1
0078021166E182F082EBD514DBB7F5330450413363E6C1FAA20F1B96048CCB05AC0233009C07CE6B5777F5E6D946C527FAD6DB9E9E25C6DC1F8064280FFABDBB,7.6,10.605,9.025666666666666,3
007C6666E86DA4423FDAD3E34EF21756B2068A5E989BC21F0C90AEFF8AD0398D8CE98FF7F16AF600E2E03E631296010AA2C91FFE65BE0A35507F81CDB239A8A4,5.14,12.977,8.592333333333334,3
007D1AD2C45139702CFC437FF12DB9B209873D2E6AA801ED61D000F4DF453F28D1FE75A12244E9885B77343125D5C47B32C6CACEC74A049B78F8B337EB23A90A,4.652,4.652,4.652,1
007D2CBF76294ACBA5EF622EFFF7BA19FBCB19C53E9E4EB7B0952094005A29C9434BE8385B5D35507A9A2A1904252C2ACF1AD7D2B8BFC9BAAF5E22C8D0A6B86B,4.1,4.1,4.1,1
007D691F9709973AFE743C0B2608C58726F8D5FBA8A02F0BBD28DE7664275B507777E56890680B5CB38B8A3ECA90CB55712B17739672FE665C83E0114D3E0534,3.77,3.77,3.77,1
