IDHASH,MIN_CALIF_CEPRE,MAX_CALIF_CEPRE,PROM_CALIF_CEPRE,CANT_CEPRE
00FB1FF515A562F5AB23D7C59EEB07683EA4338A6022FD530457C2E74CDAB57D5C06D09E7854A78C515CBCDB90CF22949973D0C24AB839CE725A9FA53416839D,6.515,6.515,6.515,1
00FF0EF4F85BAA36765539356A433915FDF2F09226B823FACF5FA9BCAB807017B46F9CA329CE68272E4EC22A07C1101F0672EF903F9F394CC605861CD03E92AF,0.495,0.495,0.495,1
0100640F391CC40D80AF7713E2586DB7501DD871D13832D060E9CEE441F6265BC6584F5D58C1A67E9DF53A43D38D61865CC66FEA712E26389EA3AB13E4CA207F,3.411,12.457,9.439666666666668,3
010237B260319CD4190674B9915AA23F91EB2C9A7B52CA5976DF2E018212BE53B9A789BC49F41852640BAC47AF227D2746F5CE9940BC480658A2CF8F4DBE0012,3.83,3.83,3.83,1
0104CBEB263054E1A3A8F5BCD3400DB4008CC7E6C70C13248726432CD1AA24AEA3F4130DD1B7CA1BE3658F3A7327E841D4E2B42E0138437103272DB2A0084CEB,0.0,0.0,0.0,1
01050B0ABFAC54BDBCA3303668FA3C29AE433822E2B4521B7AB4D430A4B6A3295653ADC1CA57C204D9DC64F4F7C148CE3B03DC7181E149E0DC4EE3710058B9B0,0.401,0.401,0.401,1
010CBE3AD0BC5E6783D740C7025B65B4B78821BB11D4FB292FF8265714F37D8B31E2893A7B4AE678C077BCBC315D2DEEBEAAD23C58ECAE3DB1330ABB300DD9B6,0.0,0.0,0.0,1
010F0938237700E07EDA50D1992CB2A57A8A31A6982ACA415A1B50CB10C82CE97F1F61EB8DE666A062D3A337D12B673B5AA1276FBD904259CC013293FEC34DD8,7.853,11.324,10.034666666666666,3
0110E63B9F7082E8E04FEBCBE1D77E7DEA793635060A7353DFCE912BD1750E3A8B0D8D83646A8ECB9052276ED2D3D8FA15010CC8E0399B11D078B6A3E620AC4B,2.69,11.436,7.93975,4
0110F9AA0A9044551904EEE3F92E87192DECF55A30C55D094A8D86AB8BC22E99EEC4B46FBA6FB3C404A99ADBBB5A29AD2E7C3E0713D4E4358EDAAC1C4ED843F4,10.714,13.983,12.886666666666665,3
0114840E77697A4B601138669F2F44DDC010E53BDDE1D63DF63A8F4E7CE4A85FD3A73F8C0F0E41E94439E343FBA1EA456054E7569A7CCCFFF20B9AD7D2F82597,5.199,7.626,6.4125,2
01200FE604179017DA84FE148F56232B87ED57CA75E30F815361FDB18A83BA3A3ADA8C152A617811FD24B3ABCC640960C82F8D45F2A533848B30D0C4CF67F4C5,12.387,12.387,12.387,1
01251A331FDD4AB030C325465A10E5408B426B7386CE0D50218044645A1F2A3C95C25B3D937BA21FF997D58A83B25238CC842B2D7DC459B697D9827041009B00,8.175,8.175,8.175,1
012D48E7B6D7DA9157690F8FB52FAEACF1586AF8EF09070CF811EE211AE9D3F665939518B4615A256D6C924CDDC071F3432F5802D48AB48CC78BE70187BE1FBF,4.458,4.458,4.458,1
012EC0DC26B3BCCD1FB5A1BF15D1F5707D8714EB46FE7BE28BBB572D20E227204A9A0A98926D87749EFF2F3F5E3E3ADBC262DAC4ABD23FC6038B7943FCFA1DFD,9.7,10.644,10.172,2
012FE372836719407B51FEC04C41FB66CEB9C39924F9775469B2B8CA6D5D0384C5665C442330C0C419B0B6287111C6AF7CA763F289C7DCF6B83680871AD1A84E,1.627,1.627,1.627,1
01347E01DD9D0C7C2DC44E636AE2B478EDD51C1436E13BE253CBAA844F6294599517951F1E71A958284A35CF55862E2BFBD88B3B24C3FE7514BCDF32D8E4CF54,0.222,5.401,3.548666666666667,3
01350B65B24A6980961AC5486FBF6F1DD0CAFFF3043182D9C22CE1EC258CD4983FB606BC5AFBE2C48A818B717B2DFEDC282ED6A914C7DBE7425C5E02DC6A6712,0.406,11.354,5.864,3
013B8DE7C81B34737E33239680239926D9CABE1D08D54ABEFADC4A46B99B9DD3883E17791A6AB25CB059E0029CB9AD2B1B6D8ACFD397E4EC89DC48DC816DEC6A,6.802,6.802,6.802,1
01437B058B9E88BD15EF0FE20C6DC851B80D754F7BC10B8F79A9A3354E98A80D04BD5672010AE6E3BAEE16D241FC48BE5FB6768FF7F1D37ABF2AE39C7A59EE4F,3.225,3.225,3.225,1
014F44257FA0CAB8E4D921F25AC90FECC3373B25428F3C5482E549D29FE45B824DC1D7F483457A4FBD8A358F20C6C307AF5C4B4CE5C927861C23E8641C58829F,5.904,6.599,6.2515,2
014F7B81D0768E709FBC0CFED0F6BDFAF8FCD1AEFFA7D80734C0FAB8FB750EF993EC5872463928F72F0F3C269609F150A6952E9788E483F9EE5F4CC5EAF65D04,11.047,11.858,11.4525,2
01509C1134BEB5F01300EEEB45AC195B7B1AE376A2AC90570800C2002171F0AE76719984012FF7D88C8B97CFFE41CEBCECBD730500370C27A3BDFC0AA329A634,5.023,5.023,5.023,1
0152C2620765EB2E839291418B5C0C957AB4568FCF3A981A1F38FBDE6F052D16633922A845071C3A69865DB2EBE1CFE544EE6CA60FD31D33F45A9891CED72724,9.764,9.764,9.764,1
0154492B18B9E52B93F1F658F6FF5339AD044F1A2A7B6197D5AC472E860E83609E169E2EEC3B3AE7F4D5C2F5F91B499A54B73676F1FDBA8C3174AC33A33EBBBD,11.167,16.343,13.884333333333332,6
01562A41EAB04742A2D7BFDB376AC56B356A8B9964103B391B1D789F648CB7E65CF7FACA15A82396B6F1E8F4E4691D5782FDBCBBDB1E90CEA5C22956E149DF5D,12.726,12.726,12.726,1
015BBAD281673E7E3DD273868DA4ADECEE49B3E957E40403990A3DA9ECE67DE0AB5FE711987953CC74EE84A40191207798C54EC470A64E2310077FEB6D974AC5,5.356,5.356,5.356,1
015DEE1AE0572C58C88FA6C04A38C7DA2EE3022E00C827ADBCA8425FBA549D79B7D7E52C1DBB799E7663FF6A1668A455B7CD5A62F73A1FDDBE6017E42F4C2A0E,12.102,14.551,13.3265,2
015E76D5E84CD1D193BB52309788A83054D00B69C21FD0DC12A890C3A8A507AA352A8B2F7949BA7A440F5E9C8F28B430F5781B46E6A6466A851876E1676F9B31,15.94,16.384,16.162,2
015FC3C00BCB8A615C8C4C9A3C9937D61F099BBA0211C25287E819D17FC92E63843BF41C4980CE4FE8556079C4920E55C32D0044ACF917DEDB4A0C3D81F23D3E,1.571,2.103,1.8370000000000002,2
01609FC69496FE33DB43CE1F8A20322718625292ED13284BB6E8454C701170420373792EAFDDEFE3A0A41DA4DB643BACF5FF9DF789DAB8F9A467A9B5DD244FD5,0.553,4.11,1.8803333333333334,3
016226ED681205DADA25108D2071E61D692F7E5F027335C6E6A42244B1702FE7F02E20FE3F905B424BD62F93E46528D34E464501AFA44A35ED85D07E214C96B1,1.808,1.808,1.808,1
016320CF50F05A2D1F9EFCA2A11EE95B5F903E76D9134902BE5E759BD1B7C825BA9EE704FB4E2A62A5878124B47A6BE8F7D5E33D4D5B70B5BE6C1A54817C48DA,12.657,12.657,12.657,1
01642EE51D4842E3E790DD17223E2FE2FF81F70857D744AB1C611F7DE0F8262E4D752D937FBCBF5248F5C661C1C4ADE43580BB6661529C9254A0D4794AB84D28,2.034,6.829,4.4315,2
0167ECEE0FB016AD5A2039906B3C05D1E36BE0CC7F0AC7344A709FB0D99DB44586D8153FDAD7D174414231D6A8FCE4CD466F03BFC460D0B108AD6A0E81CA36B1,4.047,4.047,4.047,1
01686CB81DFE562CD416E22C8ED13C9E74790E6FD973EC3EBE5F7E94C3F4CE195FD4F1EBB145D86389AA6B750EF42067B1E3374DBBDE7BC71798B816E27D6449,15.014,15.014,15.014,1
016A52DE3DA636A3F5F470C8B6366DDD87D00F3ABA2DA56ACE4645D2D00BD0CA358F39CE0C7CD0A87619B6CA3DC9A0002263D30C0CAF865B7B86DB738486A1BC,3.832,3.832,3.832,1
016C3C9AF7D10783CE602704E52EFF134337EFE55E176C1AC5B29EB99A720F8C54CCB52FE5134BCFBA3612063A106D35491DD513883A62DC3E5B807E12AFD1C0,13.479,13.479,13.479,1
0171CC254A663CE94D21EB43D9FA71B973EFCEC39A9AA01E15D3785989D5D93C46ED5E683437E113AAF63E61B969B5E2208BB63E179E04A444AA149D2F4ADEFC,4.421,13.3,9.13775,4
01742622110F8A7B9736BA394DC3FB105163FF098D2D03AB6306DF744EF64E7AD3468F70270E31D6FA733F75AD22589CD799CD990678FA3E9EF4A4EE03FBB3FA,0.366,0.366,0.366,1
017C31508D218D6CF15591D364020C0A10A0286ED99D5D929433F6DA1DCA0A566FCD8D6C1CA32C85A81119311CEA2D87406E0800FB8DE8049E9B73339690EE97,8.384,11.309,9.973333333333334,3
017DEE66994F87E5392C4809B20D26F06A9860AEA573DC0C8CCC8C3F286BB4BA7660119350E080C056C2C236DF113CA82E0281C368293266985E0EA8A9AFFB60,0.0,0.0,0.0,1
0182F7B5A78EDE4BECD2D88B3EE0D6DED5F1FA6348F062DD1B19825E681B89AFA324DBD3F00C97F1D6020AF9DBA350D3919BAA9FCC4CDAA23A9C4D106EA102E7,14.344,15.269,14.8065,2
01868257EEF87909E0CC5A143EAE5DD435EB270697F35B0614E9F77BAF47C2E351D83A211BBBD51E799E0F41B6D344A908862E7CDB08D0D2655F83C3BEA9DF6E,2.475,2.475,2.475,1
018E0AB368C9B9CAA6030DECD1C273E4B74EDFD776B712897824BBEA4317018BEEB2F219D8314B3A968A689551BB833572BC91CD2841A754A6323B5940DDFA0B,0.769,0.769,0.769,1
018F57127360D89576C3453B940CC3507FAC546DA9071235DEA7FA60B1EF97A8AAFE9C4190AB0AE59844A34C72070D664313BE1B4211AA8C0E9C7EFD19050487,10.85,14.089,12.4695,2
0198237C31DE5B7B799BAFBE9D91718A867DC515A24129309727909D9CAD90D9842C4ED13D477B3355341B8BA10F76B25AD409878ADBCDB3A533F49DC93CA187,9.077,9.077,9.077,1
01987B7DD3B4CD73418BD48B88B6E5F486BA00DBBBCFAC13E04BE1FEA90579E8BBB4D8C683BEE44E62FEB8F117F7DF85027656938EC11D3C8F4AC00E1F0CD2BB,5.408,5.408,5.408,1
01A0233082B9125B5BD86AD816262BC249810E73F6089D048E68E06D3C831B2EA7CD53D26A5C0CC34660EC5D5ACCFFCA21E0534C63CD935C0E7571C6723FF584,12.46,12.46,12.46,1
01A2883FDAE8B35FCDDC3BF6C2F436695057ECD9CF3D3EB3B3A036E10D4BF45BB825D7AF1E5D02B45B0E7032053EB944290DE3B46BE5E48FF28D8DEB9BD65920,4.078,4.078,4.078,1
