COLEGIO,COLEGIO_PAIS,COLEGIO_DEPA,COLEGIO_PROV,COLEGIO_DIST
2078 NUESTRA SEÑORA DE LOURDES,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2078 NUESTRA SEÑORA DE LOURDES,PERÚ,0,0,0
20786 VICTOR RAUL HAYA DE LA TORRE,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
2079 ANTONIO RAIMONDI,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
2079 ANTONIO RAIMONDI,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
20793 LIBERTADOR DON JOSE DE SAN MARTIN,PERÚ,LIMA,HUARAL,HUARAL
2081 PERU SUIZA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
20811 REPUBLICA DE COLOMBIA,PERÚ,LIMA,HUAROCHIRÍ,SANTA CRUZ DE COCACHACRA
20849 JOSE FAUSTINO SANCHEZ CARRION,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
2085 SAN AGUSTIN,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
2085 SAN AGUSTIN,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
2086 PERU HOLANDA,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
20874 CENTRO DE VARONES,PERÚ,LIMA,CAÑETE,SAN VICENTE DE CAÑETE
2088 REPUBLICA FEDERAL DE ALEMANIA,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
2088 REPUBLICA FEDERAL DE ALEMANIA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
2089 MICAELA BASTIDAS,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
20892 VIRGEN DE LAS MERCEDES,PERÚ,LIMA,BARRANCA,SUPE
2091 MARISCAL ANDRES AVELINO CACERES,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2091 MARISCAL ANDRES AVELINO CACERES,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
2091 MARISCAL ANDRES AVELINO CACERES,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
2091 MARISCAL ANDRES AVELINO CACERES,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2095 HERNAN BUSSE DE LA GUERRA,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
2095 HERNAN BUSSE DE LA GUERRA,PERÚ,LIMA,LIMA METROPOLITANA,PUENTE PIEDRA
20955-2 NACIONES UNIDAS,PERÚ,LIMA,HUAROCHIRÍ,SAN ANTONIO
20955-23 ANTENOR ORREGO ESPINOZA,PERÚ,LIMA,HUAROCHIRÍ,SAN ANTONIO
20955-27 VERITATIS SPLENDOR,PERÚ,LIMA,HUAROCHIRÍ,SAN ANTONIO
22406 ROBERTO PISCONTI RAMOS,PERÚ,ICA,NAZCA,NAZCA
22438 DE LAS MONJAS,PERÚ,ICA,PALPA,SANTA CRUZ
22445 GERARDO R. MENDOZA ESCATE,PERÚ,ICA,PISCO,INDEPENDENCIA
22491 MICAELA BASTIDAS PUYUCAWA,PERÚ,ICA,CHINCHA,LA TINGUIÑA
22521 FRANCISCO FLORES CHINARRO,PERÚ,0,0,0
25 NUESTRA SEÑORA DE LA INMACULADA CONCEPCION,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
26 DE JUNIO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3004 ESPAÑA,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
30059 ROSA DE AMERICA,PERÚ,JUNÍN,HUANCAYO,EL TAMBO
3014 LEONCIO PRADO,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
3014 LEONCIO PRADO,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
3015 LOS ANGELES DE JESUS,PERÚ,LIMA,LIMA METROPOLITANA,RIMAC
3024 JOSE ANTONIO ENCINAS,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3032 VILLA ANGELICA,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3037 Gran Amauta,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3037 GRAN AMAUTA,PERÚ,0,0,0
3040 20 DE ABRIL,PERÚ,LIMA,LIMA METROPOLITANA,LOS OLIVOS
3041 ANDRES BELLO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3041 ANDRES BELLO,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
30416 ALEJANDRO ROSALES TORRES,PERÚ,JUNÍN,JAUJA,ACOLLA
3043 RAMON CASTILLA,PERÚ,LIMA,LIMA METROPOLITANA,LIMA
3043 RAMON CASTILLA,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3045 JOSE CARLOS MARIATEGUI,PERÚ,LIMA,LIMA METROPOLITANA,SAN MARTIN DE PORRES
3047 REPUBLICA DE CANADA,PERÚ,LIMA,LIMA METROPOLITANA,COMAS
3048 SANTIAGO ANTUNEZ DE MAYOLO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
3049 IMPERIO DEL TAHUANTINSUYO,PERÚ,LIMA,LIMA METROPOLITANA,INDEPENDENCIA
